Date,Time,Round,Venue,Home.Team,Away.Team,Home.Points,Away.Points,AwayWin,HomeWin,Draw,Season,Match_id
2016-05-01,13:10,6, Gabba,Brisbane,Sydney,94,97,1,0,0,2015,6223
2016-05-01,14:40,6, Domain Stadium,West Coast,Collingwood,124,62,0,1,0,2015,6225
2016-05-01,15:20,6, MCG,Carlton,Essendon,72,57,0,1,0,2015,6224
2016-05-06,19:50,7, MCG,Richmond,Hawthorn,90,136,1,0,0,2015,6226
2016-05-07,13:45,7, MCG,Collingwood,Carlton,84,99,1,0,0,2015,6227
2016-05-07,14:10,7, GMHBA Stadium,Geelong,West Coast,123,79,0,1,0,2015,6228
2016-05-07,16:35,7, Accor Stadium,Sydney,Essendon,135,54,0,1,0,2015,6229
2016-05-07,17:10,7, People First Stadium,Gold Coast,Melbourne,87,160,1,0,0,2015,6230
2016-05-07,18:10,7, Domain Stadium,Fremantle,GWS,77,95,1,0,0,2015,6232
2016-05-07,19:40,7, Marvel Stadium,Western Bulldogs,Adelaide,123,108,0,1,0,2015,6231
2016-05-08,15:20,7, Marvel Stadium,St Kilda,North Melbourne,75,82,1,0,0,2015,6233
2016-05-08,16:10,7, Adelaide Oval,Port Adelaide,Brisbane,136,59,0,1,0,2015,6234
2016-05-13,19:20,8, Adelaide Oval,Adelaide,Geelong,72,98,1,0,0,2015,6235
2016-05-14,13:45,8, Marvel Stadium,Essendon,North Melbourne,60,74,1,0,0,2015,6236
2016-05-14,14:10,8, UTAS Stadium,Hawthorn,Fremantle,116,75,0,1,0,2015,6237
2016-05-14,16:35,8, ENGIE Stadium,GWS,Gold Coast,149,58,0,1,0,2015,6238
2016-05-14,19:25,8, Gabba,Brisbane,Collingwood,65,143,1,0,0,2015,6239
2016-05-14,19:25,8, MCG,Richmond,Sydney,101,100,0,1,0,2015,6240
2016-05-15,13:10,8, Marvel Stadium,Carlton,Port Adelaide,93,91,0,1,0,2015,6241
2016-05-15,14:40,8, Domain Stadium,West Coast,St Kilda,132,29,0,1,0,2015,6243
2016-05-15,15:20,8, MCG,Melbourne,Western Bulldogs,82,114,1,0,0,2015,6242
2016-05-20,19:50,9, MCG,Hawthorn,Sydney,55,69,1,0,0,2015,6244
2016-05-21,13:45,9, MCG,Collingwood,Geelong,104,80,0,1,0,2015,6245
2016-05-21,14:10,9, People First Stadium,Gold Coast,Adelaide,74,149,1,0,0,2015,6246
2016-05-21,16:05,9, Adelaide Oval,Port Adelaide,West Coast,86,94,1,0,0,2015,6247
2016-05-21,17:40,9, Domain Stadium,Fremantle,Richmond,45,83,1,0,0,2015,6249
